IdLocalSap;CodigoMaterial;Departamento;Ean13;DigitoVerificador;Jerarquia;Pesable;Fraccionable;UnidadMedida;DescripcionCorta;DescripcionLarga;PrecioFlejes;ImportePPUMS;Impuesto;IdMarca;TipoBarra ;UnidadMedidaFlejes;TimeStampActualizacion
J512;995769;25;2494192;1;250901001;1;1;KG;QUESO CAB  MER;*QUESO FERMENTA CABRA MADURO MERQUEN KG;999999;999999;1;6556;BC;KG;2018-07-25T17:52:34
J512;995770;25;2494193;8;250901001;1;1;KG;QUESO CAB  ORE;*QESO FERMENTA CABRA MADURO OREGANO KG;999999;999999;1;6556;BC;KG;2018-07-25T17:52:34
J512;995772;25;2494195;2;250901001;1;1;KG;QUESO MANT ARRO;*QUESO FERMENTA MANT ARROLLADO HUASO KG;999999;999999;1;6556;BC;KG;2018-07-25T17:52:34
J512;995773;25;2494196;9;250901001;1;1;KG;QUESO MANT NUE;*QUESO FERMENTA MANTECOSO NUECES KG;999999;999999;1;6556;BC;KG;2018-07-25T17:52:34
J512;995774;25;2494197;6;250901001;1;1;KG;QUESO MANT MAN;*QUESO FERMENTA MANTECOSO MANGO KG;999999;999999;1;6556;BC;KG;2018-07-25T17:52:34
J512;995775;25;2494198;3;250807001;1;1;KG;QUESO MANT FRUT;*QUESO FERMENTA MANTECOSO FRUTILLA KG;999999;999999;1;6556;BC;KG;2018-07-25T17:52:34
J512;995776;25;2494199;0;250901001;1;1;KG;QUESO MANT CHAM;*QUESO FERMENTA MANT CHAMPIGNONES KG;999999;999999;1;6556;BC;KG;2018-07-25T17:52:34
J512;995777;25;2494158;7;250807001;1;1;KG;QUESO MANT PES;*QUESO FERMENTA MANTECOSO PESTO KG;999999;999999;1;6556;BC;KG;2018-07-25T17:52:34
J512;995778;25;2494200;3;250807001;1;1;KG;QUESO MANT TOM;*QUESO FERMENTA MANTECOSO TOMATES KG;999999;999999;1;6556;BC;KG;2018-07-25T17:52:34
J512;995780;25;2494184;6;250807001;1;1;KG;QUESO MANT CHOR;*QUESO FERMENTA MANT CHORIZO ESPAÌÔOL KG;999999;999999;1;6556;BC;KG;2018-07-25T17:52:34
J512;995782;25;2494159;4;250901001;1;1;KG;QUESO MANT CAR;*QUESO FERMENTA MANTECOSO CARAMELO KG;999999;999999;1;6556;BC;KG;2018-07-25T17:52:34
J512;995783;25;2494170;9;250807001;1;1;KG;QUESO MANT CHIA;*QUESO FERMENTA MANTECOSO CHIA KG;999999;999999;1;6556;BC;KG;2018-07-25T17:52:34
J512;995785;25;2494172;3;250901001;1;1;KG;QUESO MANT KIW;*QUESO FERMENTA MANTECOSO KIWI KG;999999;999999;1;6556;BC;KG;2018-07-25T17:52:34
J512;995786;25;2494173;0;250901001;1;1;KG;QUESO MANT DAM;*QUESO FERMENTA MANTECOSO DAMASCO KG;999999;999999;1;6556;BC;KG;2018-07-25T17:52:34
J512;995787;25;2494174;7;250807001;1;1;KG;QUESO MANT CIR;*QUESO FERMENTA MANTECOSO CIRUELAS KG;999999;999999;1;6556;BC;KG;2018-07-25T17:52:34
J512;995788;25;2494175;4;250901001;1;1;KG;QUESO MANT PAS;*QUESO FERMENTA MANTECOSO PASAS KG;999999;999999;1;6556;BC;KG;2018-07-25T17:52:34
J512;995790;25;2494177;8;250807001;1;1;KG;QUESO MANT PIM;*QUESO FERMENTA MANTECOSO PIMENTON KG;999999;999999;1;6556;BC;KG;2018-07-25T17:52:34
J512;995791;25;2494178;5;250901001;1;1;KG;QUESO MANT AJO;*QUESO FERMENTA MANTECOSO AJO KG;999999;999999;1;6556;BC;KG;2018-07-25T17:52:34
J512;995793;25;2494180;8;250901001;1;1;KG;QUESO MANT PIM;*QUESO FERMENTA MANTECOSO PIMIENTA KG;999999;999999;1;6556;BC;KG;2018-07-25T17:52:34
J512;995794;25;2494183;9;250901001;1;1;KG;QUESO MANT CIB;*QUESO FERMENTA MANTECOSO CIBOULETTE KG;999999;999999;1;6556;BC;KG;2018-07-25T17:52:34
J512;995795;25;2494181;5;250901001;1;1;KG;QUESO MANT AMAP;*QUESO FERMENTA MANTECOSO AMAPOLAS KG;999999;999999;1;6556;BC;KG;2018-07-25T17:52:34
J512;995796;25;2494182;2;250901001;1;1;KG;QUESO MANT TOC;*QUESO FERMENTA MANTECOSO TOCINO KG;999999;999999;1;6556;BC;KG;2018-07-25T17:52:34
J512;995797;6;780958240008;5;60203001;0;0;UN;PLATANO BOLSA 1 KG;PLATANO BOLSA 1 KG;459;459;1;7139;HE;KG;2018-07-25T17:52:34
J512;995798;20;780280100002;8;200801002;0;0;UN;SOPAIPILLAS SPEZIA;*SOPAIPILLAS LA SPEZIA CONG 10 UN 390GR;1099;2817,95;1;2977;HE;KG;2018-07-25T17:23:23
J512;995799;7;761303257783;4;70302002;0;0;UN;FITNESS FRUIT 510G;*CEREAL FITNESS AND FRUIT 510GR;2590;5078,43;1;3685;HE;KG;2018-07-25T17:17:39
J512;995800;7;761303262280;0;71306001;0;0;UN;MILO 250 GRS 3X2;*PACK MILO 3X2 250 GR;3249;4332;1;3477;HE;KG;2018-07-25T17:17:39
J512;995805;27;808305005136;1;271101001;0;0;UN;CAMISA COLEGIO BLA;*CAMISA COLEGIO BLANCA T. 12;190;190;1;4507;HE;  ;2018-07-25T17:52:34
J512;995812;27;808305005143;9;271101001;0;0;UN;CAMISA COLEGIO BLA;*CAMISA COLEGIO BLANCA T. 39;190;190;1;4507;HE;  ;2018-07-25T17:52:34
J512;995818;27;808305005149;1;271101001;0;0;UN;CAMISA COLEGIO CEL;*CAMISA COLEGIO CELESTE T. 4;190;190;1;4507;HE;  ;2018-07-25T17:52:34
J512;995819;27;808305005150;7;271101001;0;0;UN;CAMISA COLEGIO CEL;*CAMISA COLEGIO CELESTE T. 6;190;190;1;4507;HE;  ;2018-07-25T17:52:34
J512;995820;27;808305005151;4;271101001;0;0;UN;CAMISA COLEGIO CEL;*CAMISA COLEGIO CELESTE T. 8;190;190;1;4507;HE;  ;2018-07-25T17:52:34
J512;995824;27;808305005155;2;271101001;0;0;UN;CAMISA COLEGIO CEL;*CAMISA COLEGIO CELESTE T. 16;190;190;1;4507;HE;  ;2018-07-25T17:52:34
J512;995829;27;808305005160;6;271101001;0;0;UN;CAMISA COLEGIO CEL;*CAMISA COLEGIO CELESTE T. 39;190;190;1;4507;HE;  ;2018-07-25T17:52:34
J512;995830;27;808305005161;3;271101001;0;0;UN;CAMISA COLEGIO CEL;*CAMISA COLEGIO CELESTE T. 40;190;190;1;4507;HE;  ;2018-07-25T17:52:34
J512;995831;27;808305005162;0;271101001;0;0;UN;CAMISA COLEGIO CEL;*CAMISA COLEGIO CELESTE T. 41;190;190;1;4507;HE;  ;2018-07-25T17:52:34
J512;995832;27;808305005163;7;271101001;0;0;UN;CAMISA COLEGIO CEL;*CAMISA COLEGIO CELESTE T. 42;190;190;1;4507;HE;  ;2018-07-25T17:52:34
J512;995833;27;808305005164;4;271101001;0;0;UN;CAMISA COLEGIO CEL;*CAMISA COLEGIO CELESTE T. 43;190;190;1;4507;HE;  ;2018-07-25T17:52:34
J512;995835;27;808305005166;8;271101002;0;0;UN;BLUSA COLEGIO T. 4;*BLUSA COLEGIO T. 4;190;190;1;4507;HE;  ;2018-07-25T17:52:34
J512;995840;27;808305005171;2;271101002;0;0;UN;BLUSA COLEGIO T. 1;*BLUSA COLEGIO T. 14;190;190;1;4507;HE;  ;2018-07-25T17:52:34
J512;995846;27;808305005177;4;271101002;0;0;UN;BLUSA COLEGIO CON;*BLUSA COLEGIO CON PINZAS T.XL;190;190;1;4507;HE;  ;2018-07-25T17:52:34
J512;995847;27;808305005178;1;271101002;0;0;UN;BLUSA COLEGIO CON;*BLUSA COLEGIO CON PINZAS T.XXL;190;190;1;4507;HE;  ;2018-07-25T17:52:34
